Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,CARLSON D,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-647,,,,,,,
,GOEBEL F,3.8,80.0%,20.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-649,,,,,,,
,ATHREYA S,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-651,,,,,,,
,GRAF K,3.6,60.0%,40.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-652,,,,,,,
,WATERS M,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-654,,,,,,,
,SMITH C,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,,,,,,,
ANTH-660,,,,,,,
,CRISMAN K,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-685,,,,,,,
,GRAF K,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,VIEIRA D,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-689,,,,,,,
,DE R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,GOEBEL F,3.86,86.365%,13.635%,0.0%,0.0%,0.0%,2
,GURSKY-DOYEN S,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,LINDERHOLM A,3.8,80.0%,20.0%,0.0%,0.0%,0.0%,1
,THOMS A,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,VIEIRA D,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,WINKING J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ARAB-101,,,,,,,
,ABUNAWAS M,3.66,72.665%,22.17%,4.54%,0.0%,0.625%,2
,AYARI S,3.84,84.335%,15.665%,0.0%,0.0%,0.0%,2
,,,,,,,
ARAB-102,,,,,,,
,ABUNAWAS M,3.57,69.4466666667%,21.2533333333%,7.19333333333%,1.56333333333%,0.546666666667%,3
,ARFAOUI T,3.32,60.56%,18.31%,16.9%,0.0%,4.23%,1
,AYARI S,3.8,80.0%,20.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ARAB-201,,,,,,,
,AYARI S,3.41,52.102%,39.868%,6.91%,0.666%,0.454%,5
,,,,,,,
ARAB-202,,,,,,,
