Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,PEPPER A,3.4,47.7275%,44.445%,7.8275%,0.0%,0.0%,4
,,,,,,,
BIOL-644,,,,,,,
,ZORAN M,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
BIOL-650,,,,,,,
,ARAMAYO R,3.76,78.0966666667%,19.5233333333%,2.38%,0.0%,0.0%,3
,,,,,,,
BIOL-651,,,,,,,
,THOMAS T,3.89,88.4928571429%,11.5071428571%,0.0%,0.0%,0.0%,7
,,,,,,,
BIOL-652,,,,,,,
,MAGGERT K,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
BIOL-682,,,,,,,
,MCMAHAN U,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,3
,,,,,,,
BIOL-685,,,,,,,
,LEKVEN A,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,MCMAHAN U,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,,,,,,,
BIOL-689,,,,,,,
,ARAMAYO R,3.9,90.3125%,9.6875%,0.0%,0.0%,0.0%,4
,JONES A,3.7,70.0%,30.0%,0.0%,0.0%,0.0%,1
,,,,,,,
BIOL-697,,,,,,,
,GREENBAUM I,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,3
,,,,,,,
BIOL-698,,,,,,,
,CARNEY G,3.31,52.68%,40.18%,0.0%,0.0%,7.145%,2
,,,,,,,
CHEM-100,,,,,,,
,GAEDE H,3.7,80.56%,12.4833333333%,4.52%,1.56%,0.873333333333%,3
,,,,,,,
CHEM-101,,,,,,,
,BARONDEAU D,2.46,20.74%,31.4733333333%,27.1966666667%,14.53%,6.06%,3
,BATTEAS J,2.56,20.93%,34.88%,27.91%,11.63%,4.65%,1
,BETHEL R,2.45,16.3533333333%,32.9466666667%,32.8433333333%,14.7733333333%,3.08333333333%,3
,CHAKRABARTI M,2.64,27.18%,35.15%,20.0%,9.71%,7.96%,1
,COLLINS D,2.54,26.95%,27.87%,24.96%,12.71%,7.5%,1
,HILTY C,2.27,17.07%,26.83%,29.27%,19.51%,7.32%,1
,KEENEY-KENNICUTT W,2.71,26.505%,30.43%,33.225%,7.235%,2.605%,2
,LEUNG T,2.24,21.43%,23.81%,23.81%,19.05%,11.9%,1
,LIM S,2.56,22.035%,31.64%,31.49%,10.19%,4.645%,2
,MAWK E,2.38,17.33%,28.44%,37.33%,8.89%,8.0%,1
,MCCARTNEY S,2.38,19.83%,27.055%,31.44%,14.79%,6.89%,2
,MULLEN C,2.39,16.49%,33.68%,28.875%,14.7%,6.26%,2
,NORTH S,2.81,33.73%,30.71%,23.575%,6.67%,5.32%,2
,ROSYNEK M,3.07,38.2233333333%,34.8566666667%,23.3%,2.66333333333%,0.953333333333%,3
,SHELDON M,2.59,21.31%,30.725%,36.85%,7.745%,3.375%,2
,SKILES S,2.3,13.4%,34.45%,32.54%,7.66%,11.96%,1
,STOLLENZ M,2.58,17.4766666667%,40.87%,27.8866666667%,9.51%,4.25666666667%,3
,TRUFAN E,2.24,16.7%,27.04%,30.02%,16.5%,9.74%,1
,UTLEY D,2.39,20.78%,30.43%,25.42%,13.36%,10.02%,1
,WILLIAMSON V,2.64,27.05%,29.9266666667%,27.05%,11.44%,4.53666666667%,3
,,,,,,,
CHEM-102,,,,,,,
,BANERJEE S,3.22,52.54%,25.065%,13.94%,8.45%,0.0%,2
,BETHEL R,2.61,16.18%,39.48%,34.14%,9.71%,0.49%,1
,CHAKRABARTI M,2.84,30.83%,38.6%,19.69%,5.96%,4.92%,1
,DEMPSEY S,2.52,23.89%,28.12%,30.47%,12.19%,5.335%,2
,FOLDEN C,2.62,21.13%,31.32%,36.6%,10.57%,0.38%,1
,KEENEY-KENNICUTT W,2.68,27.9133333333%,27.99%,31.71%,8.55666666667%,3.83%,3
,LINDAHL P,2.66,22.3966666667%,33.5533333333%,35.1433333333%,5.41%,3.49666666667%,3
,MAWK E,2.23,12.2425%,29.395%,35.805%,14.0925%,8.465%,4
,MCCARTNEY S,2.38,12.67%,35.945%,32.625%,14.255%,4.505%,2
,NATOWITZ J,3.42,41.67%,58.33%,0.0%,0.0%,0.0%,1
,NIPPE M,2.5,11.11%,37.57%,42.86%,7.41%,1.06%,1
,ROSYNEK M,3.38,53.3175%,33.07%,12.7775%,0.0%,0.8325%,4
,SCHWEIKERT E,3.13,39.13%,39.13%,17.39%,4.35%,0.0%,1
,STOLLENZ M,2.66,17.2366666667%,44.1966666667%,27.66%,8.70333333333%,2.20333333333%,3
,UTLEY D,2.55,21.145%,35.37%,26.24%,11.965%,5.28%,2
,WILLIAMSON V,2.67,24.7525%,35.3175%,25.965%,10.3875%,3.58%,4
,,,,,,,
